date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:18	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%226412a800-154%22	https://www.classcentral.com/robots.txt		(from )
16:47:20	666255/666255	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2016%20Mar%202023%2014:47:18%20GMT	https://www.classcentral.com/	D:/class/classcentral/www.classcentral.com/index.html	(from )
16:47:21	9463/9463	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	D:/class/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
16:47:21	2206/2206	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://www.classcentral.com/apple-touch-icon.png	D:/class/classcentral/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
16:47:21	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://www.classcentral.com/favicon-32x32.png	D:/class/classcentral/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
16:47:21	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Mar%202023%2002:58:19%20GMT	https://www.classcentral.com/favicon-16x16.png	D:/class/classcentral/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
16:47:21	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%226412a6f9-2a1%22	https://www.classcentral.com/site.webmanifest	D:/class/classcentral/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
16:47:22	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226412a800-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	D:/class/classcentral/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
16:47:22	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%226412a6f9-391%22	https://www.classcentral.com/opensearch.xml	D:/class/classcentral/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
16:47:22	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	D:/class/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
16:47:22	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:19%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	D:/class/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
16:47:22	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	D:/class/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
16:47:23	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:19%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	D:/class/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
16:47:23	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Mar%202023%2005:19:53%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	D:/class/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
16:47:23	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2016%20Mar%202023%2005:19:53%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	D:/class/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
